program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
3848,Residential,Quebec,Tankless Water Heater Grant,"Financial Incentive,Retrofit",,This Program offers a grant of $250 towards the purchase of a high-efficiency tankless water heater. This amount helps reduce the difference between the cost of this high-performance appliance and the cost of a standard water heater.,,,Énergir,Utility company,,2018-11-21 00:00:00.0
3927,Transportation,Quebec,Ecomobile ,"Awareness/Information,Training/Technical Assistance",,"The purpose of the Ecomobile pilot project is to test the distribution of the Ministry ecodriving training for light duty vehicles throughout Québec via a network of certified organizations. The information collected during the pilot project would serve to improve the effectiveness of a possible program by determining the best way to deliver it.<br><br>
",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
3946,Commercial/Institutional,Quebec,Novoclimat - Large Multi-Unit Buildings,"Energy Management and Monitoring,Financial Incentive,New Construction,Retrofit",,"Novoclimat is an initiative that allows Quebec builders to increase the energy efficiency of their commercial establishments by building to the Novoclimat technical standards. This Program applies to <ul>
<li>buildings of over 600 m<sup>2</sup> with up to 10 storeys and </li>
<li>duplexes, triplexes and quadruplexes, as well as multiple-unit buildings of three or fewer storeys and 600 m<sup>2</sup> and less, using electricity, natural gas, or residual forest biomass as the main energy source for heating. </li></ul>

The buildings must be newly built or undergoing major renovation in order to obtain financial assistance. The types of buildings eligible are private (condominiums or dwelling units) or social housing. Financial assistance is available to the project's general contractor responsible for all work carried out in respect of the of the Novoclimat program.<br><br>",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
3947,Commercial/Institutional,Quebec,Novoclimat - Small Multiple-Unit Buildings ,"Financial Incentive,New Construction,Retrofit",,"This Program offers financial assistance to duplexes, triplexes and quadruplexes as well as multiple-unit buildings of three or fewer storeys and 600 m<sup>2</sup> and less.  The dwelling must be built by a contractor who has obtained Novoclimat certification and use as the main energy source for heating electricity, natural gas, or residual forest biomass. The building must be newly built or undergoing major renovation and must offer energy performance that exceeds the norms in effect.",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
4026,Residential,British Columbia,New Home Construction,"Energy Star,Financial Incentive,New Construction",,"This Program, in collaboration with BC Hydro Power Smart, encourages customers to build energy-efficient homes (to ENERGY STAR standards). Incentives are available for the construction of new single family homes, row homes, duplexes and townhouses.",,,FortisBC - Homes,Utility company,,2022-05-04 00:00:00.0
4027,Residential,British Columbia,Empower Me,"Advice,Awareness/Information,Energy Management and Monitoring",,"Empower Me is an energy conservation program, funded primarily by FortisBC, specifically for South Asian, Chinese, Korean, and Persian families who are not familiar with the equipment common in North American homes:  furnaces, hot water tanks, and thermostats. Through the program, Energy Mentors, who are themselves members of these communities:<ul>
<li>provide one-to-one energy-efficiency education in the participant's own language</li>
<li>develop a long term energy savings plan for each participant</li>
<li>provide energy-saving measures including aerators for faucets, energy-saving showerheads, draft-proofing supplies, </li>
<li>help participants find and apply for grant and rebate programs for which they may qualify.</li></ul>
",,,FortisBC - Homes,Utility company,,2022-05-15 00:00:00.0
4046,Commercial/Institutional,British Columbia,Commercial Lighting Rebates,"Energy Star,Rebate,Retrofit",,"This Program offers commercial businesses rebates on energy-efficient lighting products  (including ENERGY STAR certified products):<ul>
<li>electronic ballasts</li>
<li>T8 fluorescents</li>
<li>LED and energy-efficient, high-intensity discharge lighting exit lights</li>
<li>high-intensity discharge lighting</li>
<li>motion sensors and other lighting control systems</li></ul>",,,FortisBC - Business,Utility company,,2022-05-04 00:00:00.0
4086,Transportation,Canada,SmartWay Transport Partnership,"Advice,Awareness/Information,Energy Management and Monitoring",,"The SmartWay Transport Partnership is a collaboration designed to help businesses reduce fuel costs while transporting goods in the cleanest most efficient way possible. SmartWay works with freight carriers and shippers committed to benchmarking their operations, tracking their fuel consumption and improving their annual performance. The objectives of benchmarking are to:<ul>
<li>compare a business against its peers</li>
<li>analyze how others are doing it</li>
<li>identify what improvements can be made and determine the cost</li>
<li>develop an action plan on how to adopt best practices</li></ul>
",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
4107,Residential,Nova Scotia,New Home Construction,"Advice,Energy Management and Monitoring,Energy Star,Financial Incentive,New Construction",,"This Program provides expert advice to help residents make more informed choices when building their new home and encourages them to build energy efficient ones. A Certified Energy Advisor will review the building plans and provide customized recommendations to improve the energy efficiency of the design and help homes achieve improved EnerGuide ratings, and/or qualifications such as ENERGY STAR or R-2000.",,,Efficiency Nova Scotia,Provincial government,,2018-11-21 00:00:00.0
4108,Residential,Nova Scotia,Home Product Rebates,Rebate,,"From LED lighting to clothesline kits and heat pumps, Efficiency Nova Scotia provides rebates every spring and fall on a wide variety of energy efficient products. Consult the web site for details of qualifying products and participating retailers.<br><br>",,Consult the web site for details of rebates.,Efficiency Nova Scotia,Provincial government,,2022-05-04 00:00:00.0
4109,"Commercial/Institutional,Industrial",Nova Scotia,Building Optimization Program,"Advice,Energy Management and Monitoring,Retrofit",,"This Program encourages restoring a business' building to peak condition by monitoring and analyzing energy performance. A qualified service provider reviews the business' operating documents, temperature settings, scheduling and equipment to ensure that everything is working correctly. Then, they generate a report with information which can be used to undertake improvements - increasing occupant comfort and decreasing energy-related expenditures.
<br><br>",,,Efficiency Nova Scotia,Provincial government,,2022-05-15 00:00:00.0
